Rand,Holdout,Category ,Title,Synopsis
0.359329637,Train,Critically Acclaimed Mysteries Set in 1800–1950,His Bloody Project,"Man Booker Prize Shortlist Finalist A brutal triple murder in a remote Scottish farming community in 1869 leads to the arrest of seventeen-year-old Roderick Macrae. There is no question that Macrae committed this terrible act. What would lead such a shy and intelligent boy down this bloody path? And will he hang for his crime? Presented as a collection of documents discovered by the author, His Bloody Project opens with a series of police statements taken from the villagers of Culdie, Ross-shire. They offer conflicting impressions of the accused; one interviewee recalls Macrae as a gentle and quiet child, while another details him as evil and wicked. Chief among the papers is Roderick Macrae’s own memoirs where he outlines the series of events leading up to the murder in eloquent and affectless prose. There follow medical reports, psychological evaluations, a courtroom transcript from the trial, and other documents that throw both Macrae’s motive and his sanity into question. Graeme Macrae Burnet’s multilayered narrative—centered around an unreliable narrator—will keep the reader guessing to the very end. His Bloody Project is a deeply imagined crime novel that is both thrilling and luridly entertaining from an exceptional new voice."
0.360902101,Train,Mysteries Set in Victorian and Edwardian England,A Crimson Warning,"Secrets prove deadly in this new novel from Tasha Alexander featuring Lady Emily Hargreaves. Some very prominent people in London are waking up to find their doorsteps smeared with red paint, the precursor to the revelation of a dark secret – and worse – by someone who enjoys destroying lives Newly returned to her home in Mayfair, Lady Emily Hargreaves is looking forward to enjoying the delights of the season. The delights, that is, as defined by her own eccentricities_reading The Aeneid, waltzing with her dashing husband, and joining the Women's Liberal Federation in the early stages of its campaign to win the vote for women. But an audacious vandal disturbs the peace in the capital city, splashing red paint on the neat edifices of the homes of London's elite. This mark, impossible to hide, presages the revelation of scandalous secrets, driving the hapless victims into disgrace, despair and even death. Soon, all of London high society is living in fear of learning who will be the next target, and Lady Emily and her husband, Colin, favorite agent of the crown, must uncover the identity and reveal the motives of the twisted mind behind it all before another innocent life is lost."
0.365292123,Train,Female-Centered Murder Mysteries Set in 1914–1945 England,An Expert in Murder ,"March 1934. Revered mystery writer Josephine Tey is traveling from Scotland to London for the final week of her play Richard of Bordeaux, the surprise hit of the season, with pacifist themes that resonate in a world still haunted by war. But joy turns to horror when her arrival coincides with the murder of a young woman she had befriended on the train ride—and Tey is plunged into a mystery as puzzling as any in her own works.Detective Inspector Archie Penrose is convinced that the killing is connected to the play, and that Tey herself is in danger of becoming a victim of her own success. In the aftermath of a second murder, the writer and the policeman must join together to stop a ruthless killer who will apparently stop at nothing."
0.384033342,Train,Occult and Political Mysteries Set in Medieval and Renaissance Europe,Monk’s Hood,"Gervase Bonel is a guest of Shrewsbury Abbey of Saint Peter and Saint Paul when he suddenly takes ill. Luckily, the abbey boasts the services of the clever and kindly Brother Cadfael, a skilled herbalist. Cadfael hurries to the man’s bedside, only to be confronted with two surprises: In Master Bonel’s wife, the good monk recognizes Richildis, whom he loved before he took his vows—and Master Bonel has been fatally poisoned by monk’s-hood oil from Cadfael’s stores. The sheriff is convinced that the murderer is Richildis’s son, Edwin, who hated his stepfather. But Cadfael, guided in part by his concern for a woman to whom he was once betrothed, is certain of her son’s innocence. Using his knowledge of both herbs and the human heart, Cadfael deciphers a deadly recipe for murder."
0.388366915,Train,Historical Thrillers About Books and Art,The Patient’s Eyes,"David Pirie gained rave reviews for his screenplay depicting the ""real"" Sherlock Holmes, Dr. Joseph Bell, in the two part, Edgar-nominated TV series Murder Rooms. Treading that same critically acclaimed ground, The Patient's Eyes is the first in a stand-alone cycle of novels written from Doyle's point of view that include a whole new perspective on the adventures of Bell and Doyle and the genesis of the best-known detective in all of mystery literature… When the impoverished young Arthur Doyle opens his first medical practice, he is puzzled by the symptoms presented by Heather Grace, a sweet young woman whose parents have died tragically several years before. Heather has a strange eye complaint, but is also upset by visions of a phantom bicyclist, who vanishes as soon as he is followed. But this enigma is soon overshadowed as Doyle finds himself embroiled in more threatening events-including the murder of a rich Spanish businessman-that call for the advice of the eminent Dr. Bell. But Dr. Bell dismisses the murder of Senor Garcia as a rather unimportant diversion from the incident which Bell considers to have real criminal implications: the matter of the solitary cyclist-and the patient's eyes..."
0.398536774,Test,Critically Acclaimed Mysteries Set in 1800–1950,The Sweetness at the Bottom of the Pie,"In his wickedly brilliant first novel, Debut Dagger Award winner Alan Bradley introduces one of the most singular and engaging heroines in recent fiction: eleven-year-old Flavia de Luce, an aspiring chemist with a passion for poison. It is the summer of 1950--and a series of inexplicable events has struck Buckshaw, the decaying English mansion that Flavia's family calls home. A dead bird is found on the doorstep, a postage stamp bizarrely pinned to its beak. Hours later, Flavia finds a man lying in the cucumber patch and watches him as he takes his dying breath. For Flavia, who is both appalled and delighted, life begins in earnest when murder comes to Buckshaw. I wish I could say I was afraid, but I wasn't. Quite the contrary. This was by far the most interesting thing that had ever happened to me in my entire life. To Flavia the investigation is the stuff of science: full of possibilities, contradictions, and connections. Soon her father, a man raising his three daughters alone, is seized, accused of murder. And in a police cell, during a violent thunderstorm, Colonel de Luce tells his daughter an astounding story--of a schoolboy friendship turned ugly, of a priceless object that vanished in a bizarre and brazen act of thievery, of a Latin teacher who flung himself to his death from the school's tower thirty years before. Now Flavia is armed with more than enough knowledge to tie two distant deaths together, to examine new suspects, and begin a search that will lead her all the way to the King of England himself. Of this much the girl is sure: her father is innocent of murder--but protecting her and her sisters from something even worse.... An enthralling mystery, a piercing depiction of class and society, The Sweetness at the Bottom of the Pie is a masterfully told tale of deceptions--and a rich literary delight."
0.415183701,Train,Occult and Political Mysteries Set in Medieval and Renaissance Europe,The Templar’s Cross,"Sir Law Kintour has returned from the war in France injured, broke, and in need of a patron. In desperation, he reluctantly accepts a commission to find a nobleman's runaway wife. He enlists the help of a fellow Scot with whom he escaped after their defeat at the Battle of Verneuil. But his friend is murdered, and Law discovers he has been lied to. As the murders continue to mount, powerful interests come into play. When the Sheriff of Perth considers him a convenient scapegoat, it gives Law no choice but to untangle the lies and find the killer or hang for the murders."
0.434521448,Train,Historical Thrillers About Books and Art,The Club Dumas,"A provocative literary thriller that playfully pays tribute to classic tales of mystery and adventure Lucas Corso is a book detective, a middle-aged mercenary hired to hunt down rare editions for wealthy and unscrupulous clients. When a well-known bibliophile is found dead, leaving behind part of the original manuscript of Alexandre Dumas's The Three Musketeers, Corso is brought in to authenticate the fragment. He is soon drawn into a swirling plot involving devil worship, occult practices, and swashbuckling derring-do among a cast of characters bearing a suspicious resemblance to those of Dumas's masterpiece. Aided by a mysterious beauty named for a Conan Doyle heroine, Corso travels from Madrid to Toledo to Paris on the killer's trail in this twisty intellectual romp through the book world."
0.441327176,Train,Occult and Political Mysteries Set in Medieval and Renaissance Europe,Wolf on a String,"Bestselling author Benjamin Black turns his eye to sixteenth century Prague and a story of murder, magic and the dark art of wielding extraordinary power. Christian Stern, an ambitious young scholar and alchemist, arrives in Prague in the bitter winter of 1599, intent on making his fortune at the court of the Holy Roman Emperor, the eccentric Rudolf II. The night of his arrival, drunk and lost, Christian stumbles upon the body of a young woman in Golden Lane, an alley hard by Rudolf’s great castle. Dressed in a velvet gown, wearing a large gold medallion around her neck, the woman is clearly well-born—or was, for her throat has been slashed.A lesser man would smell danger, but Christian is determined to follow his fortunes wherever they may lead. He quickly finds himself entangled in the machinations of several ruthless courtiers, and before long he comes to the attention of the Emperor himself. Rudolf, deciding that Christian is that rare thing—a person he can trust—sets him the task of solving the mystery of the woman’s murder. But Christian soon realizes that he has blundered into the midst of a power struggle that threatens to subvert the throne itself. And as he gets ever nearer to the truth of what happened that night in Golden Lane, he finally sees that his own life is in grave danger.From the spectacularly inventive Benjamin Black, here is a historical crime novel that delivers both a mesmerizing portrait of a lost world and a riveting tale of intrigue and suspense."
0.464636315,Train,Historical Thrillers About Books and Art,The Da Vinci Code,"While in Paris on business, Harvard symbologist Robert Langdon receives an urgent late-night phone call: the elderly curator of the Louvre has been murdered inside the museum. Near the body, police have found a baffling cipher. While working to solve the enigmatic riddle, Langdon is stunned to discover it leads to a trail of clues hidden in the works of Da Vinci -- clues visible for all to see -- yet ingeniously disguised by the painter. Langdon joins forces with a gifted French cryptologist, Sophie Neveu, and learns the late curator was involved in the Priory of Sion -- an actual secret society whose members included Sir Isaac Newton, Botticelli, Victor Hugo, and Da Vinci, among others. In a breathless race through Paris, London, and beyond, Langdon and Neveu match wits with a faceless powerbroker who seems to anticipate their every move. Unless Langdon and Neveu can decipher the labyrinthine puzzle in time, the Priory's ancient secret -- and an explosive historical truth -- will be lost forever. THE DA VINCI CODE heralds the arrival of a new breed of lightning-paced, intelligent thriller…utterly unpredictable right up to its stunning conclusion."
0.498206589,Train,Female-Centered Murder Mysteries Set in 1914–1945 England,Mr. Churchill’s Secretary,"For fans of Jacqueline Winspear, Laurie R. King, and Anne Perry, Mr. Churchill’s Secretary captures the drama of an era of unprecedented challenge—and the greatness that rose to meet it. London, 1940. Winston Churchill has just been sworn in, war rages across the Channel, and the threat of a Blitz looms larger by the day. But none of this deters Maggie Hope. She graduated at the top of her college class and possesses all the skills of the finest minds in British intelligence, but her gender qualifies her only to be the newest typist at No. 10 Downing Street. Her indefatigable spirit and remarkable gifts for codebreaking, though, rival those of even the highest men in government, and Maggie finds that working for the prime minister affords her a level of clearance she could never have imagined—and opportunities she will not let pass. In troubled, deadly times, with air-raid sirens sending multitudes underground, access to the War Rooms also exposes Maggie to the machinations of a menacing faction determined to do whatever it takes to change the course of history. Ensnared in a web of spies, murder, and intrigue, Maggie must work quickly to balance her duty to King and Country with her chances for survival. And when she unravels a mystery that points toward her own family’s hidden secrets, she’ll discover that her quick wits are all that stand between an assassin’s murderous plan and Churchill himself. In this daring debut, Susan Elia MacNeal blends meticulous research on the era, psychological insight into Winston Churchill, and the creation of a riveting main character,  Maggie Hope, into a spectacularly crafted novel."
0.50761894,Train,Historical Thrillers About Books and Art,The Raphael Affair,"""Deliciously literate"" (Kirkus Reviews) and filled with ""articulate characters and erudite art commentary"" (The New York Times Book Review), this acclaimed series of novels by Iain Pears combines art and history, literature and mystery fiction, with the same passion for detail he displayed in his New York Times bestseller An Instance of the Fingerpost. In The Raphael Affair, the first book in the series, we are introduced to Jonathan Argyll, an enthusiastic young art scholar from England who has followed his suspicions about a long-lost Raphael painting to a small church in Rome. Not only is the painting in question gone from the site, it has been swiftly purchased, restored, auctioned, and installed in Rome's National Museum. But when the recovered Raphael is just as swiftly destroyed in a fire, Argyll begins to suspect its authenticity…and the innocence of every person in its path."
0.513379428,Train,Occult and Political Mysteries Set in Medieval and Renaissance Europe,A Pilgrimage to Murder ,"Summer, 1381. The Great Revolt has been crushed; the king’s peace ruthlessly enforced. Brother Athelstan meanwhile is preparing for a pilgrimage to St Thomas a Becket’s shrine in Canterbury to give thanks for the wellbeing of his congregation after the violent rebellion. But preparations are disrupted when Athelstan is summoned to a modest house in Cheapside, scene of a brutal triple murder. One of the victims was the chief clerk of the Secret Chancery of John of Gaunt. Could this be an act of revenge by the Upright Men, those rebels who survived the Great Revolt? At the same time Athelstan is receiving menacing messages from an assassin who calls himself Azrael, the Angel of Death? Who is he – and why is he targeting a harmless friar? Could Athelstan’s pilgrimage be leading him into a deadly trap?"
0.531872497,Train,Critically Acclaimed Mysteries Set in 1800–1950,A Test of Wills,"“Todd has written a first novel that speaks out, urgently and compassionately, for a long-dead generation….A meticulously wrought puzzle. —New York Times Book Review “An intricately plotted mystery. With this remarkable debut, Charles Todd breaks new ground in the historical crime novel.”—Peter Lovesey, author of The Circle “You’re going to love Todd.”  —Stephen King, Entertainment Weekly The first novel to feature war-damaged Scotland Yard inspector Ian Rutledge, A Test of Wills is the book that brought author Charles Todd into the spotlight. This Edgar® and Anthony Award-nominated, New York Times Notable mystery brilliantly evokes post-World War I Great Britain and introduces readers to one of crime fiction’s most compelling series protagonists. Here the shell-shocked Rutledge struggles to retain his fragile grip on sanity while investigating the death of a popular army colonel, murdered, it appears, by a decorated war hero with ties to the Royal Family. A phenomenal writer, a twisting puzzle, a character-rich re-creation of an extraordinary time and place…it all adds up to one exceptional read that will delight fans of Elizabeth George, Martha Grimes, Jacqueline Winspear, Ruth Rendell, and other masters of the British procedural."
0.551840653,Train,Female-Centered Murder Mysteries Set in 1914–1945 England,Maisie Dobbs,"Maisie Dobbs got her start as a maid in an aristocratic London household when she was thirteen. Her employer, suffragette Lady Rowan Compton, soon became her patron, taking the remarkably bright youngster under her wing. Lady Rowan's friend, Maurice Blanche, often retained as an investigator by the European elite, recognized Maisie’s intuitive gifts and helped her earn admission to the prestigious Girton College in Cambridge, where Maisie planned to complete her education. The outbreak of war changed everything. Maisie trained as a nurse, then left for France to serve at the Front, where she found—and lost—an important part of herself. Ten years after the Armistice, in the spring of 1929, Maisie sets out on her own as a private investigator, one who has learned that coincidences are meaningful, and truth elusive. Her very first case involves suspected infidelity but reveals something very different. In the aftermath of the Great War, a former officer has founded a working farm known as The Retreat, that acts as a convalescent refuge for ex-soldiers too shattered to resume normal life. When Fate brings Maisie a second case involving The Retreat, she must finally confront the ghost that has haunted her for over a decade."
0.556563766,Train,Critically Acclaimed Mysteries Set in 1800–1950,Murder As a Fine Art,"ALA Reading List Award for Best Mystery GASLIT LONDON IS BROUGHT TO ITS KNEES IN DAVID MORRELL'S BRILLIANT HISTORICAL THRILLER. Thomas De Quincey, infamous for his memoir Confessions of an English Opium-Eater, is the major suspect in a series of ferocious mass murders identical to ones that terrorized London forty-three years earlier. The blueprint for the killings seems to be De Quincey's essay ""On Murder Considered as One of the Fine Arts."" Desperate to clear his name but crippled by opium addiction, De Quincey is aided by his devoted daughter Emily and a pair of determined Scotland Yard detectives.In Murder as a Fine Art, David Morrell plucks De Quincey, Victorian London, and the Ratcliffe Highway murders from history. Fogbound streets become a battleground between a literary star and a brilliant murderer, whose lives are linked by secrets long buried but never forgotten."
0.564594365,Train,Mysteries Set in Victorian and Edwardian England,The Meaning of Night,"The atmosphere of Bleak House, the sensuous thrill of Perfume, and the mystery of Jonathan Strange & Mr. Norrell all combine in a story of murder, deceit, love, and revenge in Victorian England. ""After killing the red-haired man, I took myself off to Quinn's for an oyster supper."" So begins the ""enthralling"" (Booklist, starred review) and ""ingenious"" (Boston Globe) story of Edward Glyver, booklover, scholar, and murderer. As a young boy, Glyver always believed he was destined for greatness. A chance discovery convinces him that he was right: greatness does await him, along with immense wealth and influence. Overwhelmed by his discovery, he will stop at nothing to win back a prize that he knows is rightfully his. Glyver's path to reclaim his prize leads him from the depths of Victorian London, with its foggy streets, brothels, and opium dens, to Evenwood, one of England's most beautiful and enchanting country houses, and finally to a consuming love for the beautiful but enigmatic Emily Carteret. His is a story of betrayal and treachery, of death and delusion, of ruthless obsession and ambition. And at every turn, driving Glyver irresistibly onward, is his deadly rival: the poet-criminal Phoebus Rainsford Daunt.The Meaning of Night is an enthralling novel that will captivate readers right up to its final thrilling revelation."
0.565686215,Train,Historical Thrillers About Books and Art,The Muralist,"“Vibrant and suspenseful . . . Like The Art Forger, this new story takes us into the heart of what it means to be an artist.” —The Washington Post “B. A. Shapiro captivated us in 2012 with her ‘addictive’ novel The Art Forger. Now, she’s back with another thrilling tale from the art world.” —Entertainment Weekly When Alizée Benoit, an American painter working for the Works Progress Administration (WPA), vanishes in New York City in 1940, no one knows what happened to her. Not her Jewish family living in German-occupied France. Not her artistic patron and political compatriot, Eleanor Roosevelt. Not her close-knit group of friends, including Mark Rothko, Jackson Pollock, and Lee Krasner. And, some seventy years later, not her great-niece, Danielle Abrams, who while working at Christie’s auction house uncovers enigmatic paintings hidden behind works by those now-famous Abstract Expressionist artists. Do they hold answers to the questions surrounding her missing aunt?"
